model_reference,task_type,scenario,input_tokens,output_tokens,raw_cost_rmb,adjusted_cost_rmb,notes
"DeepSeek v4-flash official API",light,"title or short rewrite",800,600,0.0020,0.0050,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-flash official API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0044,0.0111,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-flash official API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0111,0.0277,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-flash official API",multi_version,"three versions of script or material expression",2500,3600,0.0098,0.0244,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-pro official API",light,"title or short rewrite",800,600,0.0063,0.0157,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-pro official API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0138,0.0345,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-pro official API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.0345,0.0861,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"DeepSeek v4-pro official API",multi_version,"three versions of script or material expression",2500,3600,0.0304,0.0760,"DeepSeek official pricing; cache-miss input; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 mini API",light,"title or short rewrite",800,600,0.0238,0.0594,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 mini API",standard,"requirement analysis material rewrite meeting notes",2000,1200,0.0497,0.1242,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 mini API",heavy,"long document summary operation plan lesson explanation",5000,3000,0.1242,0.3105,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 mini API",multi_version,"three versions of script or material expression",2500,3600,0.1301,0.3254,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
"OpenAI GPT-5.4 API",light,"title or short rewrite",800,600,0.0792,0.1980,"OpenAI official API pricing; 1 USD = 7.2 RMB; adjusted cost uses 2.5x safety factor"
